DATA,DIESEL,ETANOL,GASOLINA,GNV,DOLAR
2009/01,2.1047086055887885,1.319564494194006,2.430544703544933,1.812543269230766,2.3028
2009/02,2.1048236037047667,1.3499218520846847,2.4323934409052965,1.8253756097560936,2.33745
2009/03,2.1052106058844022,1.321462871071697,2.427912710166399,1.8118214971209141,2.343275
2009/04,2.1042674021539547,1.2570832421681395,2.4176229720314533,1.8012330316741996,2.2457000000000003
2009/05,2.104677334804823,1.22027104465132,2.4122884032207508,1.7853369330453486,2.079025
2009/06,2.059613371064737,1.1592874776387054,2.40001324266287,1.6442701688555377,1.96765
2009/07,1.991178053316755,1.1984847866239643,2.398296235042337,1.6053782696177084,1.926625
2009/08,1.9817657587548243,1.2317896641865869,2.3986042296072614,1.5945789473684246,1.864525
2009/09,1.9717415485277736,1.312162684189553,2.3960701438849155,1.572689024390247,1.832825
2009/10,1.9639739670809082,1.4977833333333208,2.4439151657530447,1.6098430379746844,1.759975
2009/11,1.9626008698091508,1.5485766155896228,2.4621401046886957,1.5981422222222228,1.748125
2009/12,1.963637831021381,1.5930202750176066,2.47069236187983,1.5922937625754547,1.748325
2010/01,1.9687375439624304,1.8021004025302736,2.5102591867296105,1.5742979214780648,1.80625
2010/02,1.9721190942129785,1.8330680547945708,2.5359895718989582,1.5704415011037582,1.84025
2010/03,1.9696079128934487,1.6234200897772857,2.506000169577693,1.5564310897435971,1.793975
2010/04,1.9691380087497736,1.4854330058528311,2.4774604105571467,1.5478777120315639,1.7591
2010/05,1.9655038729666248,1.3698445870251892,2.4625751327072054,1.5318336755646862,1.7996
2010/06,1.9654383397050423,1.2988377563329916,2.4517073802330542,1.5370491283676757,1.813625
2010/07,1.964273587419986,1.342751627125809,2.45268760521884,1.5312751091703096,1.780625
2010/08,1.963607840921889,1.4011434670461655,2.45675947222962,1.5375269230769266,1.758575
2010/09,1.9607693371902344,1.422877852874895,2.46131033467462,1.5465119825708105,1.7218250000000002
2010/10,1.96348490490751,1.5521314933361474,2.485229306722633,1.5236971153846193,1.689325
2010/11,1.9638186612139084,1.6004429479034408,2.501237509542713,1.5290982318271162,1.706875
2010/12,1.9636694280078293,1.6769489277945635,2.51666991802422,1.4019353099730478,1.68865
2011/01,1.973091550137421,1.7392271221728668,2.5261971577450844,1.307229508196723,1.666825
2011/02,1.9803861073522444,1.7645836758661997,2.528106135401943,1.2865761772853213,1.666725
2011/03,1.9848944331659164,2.0020851991614137,2.5784496514654167,1.2892462406015024,1.652425
2011/04,1.9880604490500582,2.168121288427239,2.7370034714916747,1.3623356973995255,1.5994
2011/05,1.986875611699078,1.8622052041274204,2.769632232520458,1.3802637130801645,1.5928
2011/06,1.9838941438652615,1.7177157404714096,2.6704682755936084,1.3812056737588614,1.57865
2011/07,1.9852549149840344,1.8055741827326823,2.6685016286644894,1.3717769607843109,1.5561250000000002
2011/08,1.9824291821968696,1.820400684345672,2.6656668669012054,1.3805708418891136,1.5857
2011/09,1.9822951807228568,1.891544663869848,2.6667930609731294,1.3706933962264125,1.7516500000000002
2011/10,1.98353556682785,1.8792013391611888,2.672849631770287,1.3638888888888858,1.795875
2011/11,1.9833874879922813,1.9054430462954481,2.6697485881024083,1.3698732057416247,1.788125
2011/12,1.9846992960552263,1.9324186483103432,2.672737888458737,1.4206417112299456,1.83385
2012/01,1.9860370616954983,1.9044668640599047,2.664692509395991,1.4630611246943763,1.8053
2012/02,1.9847809511501409,1.8345065453058669,2.6529175046172497,1.4812919075144508,1.725875
2012/03,1.9851673458656167,1.8566275216138697,2.66406910443136,1.4792128279883383,1.7728000000000002
2012/04,1.9859228342315989,1.8779252220615748,2.663891178297769,1.4719383753501396,1.8819
2012/05,1.9838834022188172,1.8546598569969952,2.6516095457649778,1.474182417582418,1.9837625
2012/06,1.9839966000271727,1.8215811903013108,2.650054631578949,1.5542572178477718,2.0339125000000005
2012/07,2.0182225348666347,1.7891539035538446,2.6445854320756137,1.5881797468354453,2.025275
2012/08,2.078872913366653,1.7663447054437629,2.6378153342683093,1.583120300751882,2.037725
2012/09,2.082153199117516,1.7670475291156085,2.6413507148864173,1.5900657534246585,2.0268625
2012/10,2.0849475215266278,1.7672817412334385,2.6438798268397607,1.5828445475638082,2.030025
2012/11,2.0872921821890182,1.7699977692152755,2.643389278099253,1.594872159090911,2.0838875000000003
2012/12,2.0925014013453187,1.817848391089188,2.652084996380905,1.6712794117647043,2.091575
2013/01,2.096895855102742,1.8341989604635909,2.659710294745786,1.6885122549019589,2.01715
2013/02,2.193676827506577,1.878748608631739,2.7870416008425507,1.6764797687861246,1.9766
2013/03,2.2487907759884025,1.9514585565710445,2.790925543134372,1.6800337078651657,1.99225
2013/04,2.2790527127797287,1.9586244968898323,2.7863395498392194,1.6911288782816236,2.00345
2013/05,2.2792498644252874,1.91380694722778,2.774800574437538,1.687479591836736,2.0722500000000004
2013/06,2.277675621737925,1.807542060988536,2.749137025316476,1.7483250688705232,2.1844
2013/07,2.2757500000000945,1.7798992035626624,2.7385470012029,1.7801851015801349,2.254
2013/08,2.2758522399393843,1.759564018114572,2.7311176409832547,1.7446488764044945,2.345225
2013/09,2.273875198613444,1.7562181694388783,2.7353935962514297,1.7132442748091607,2.29565
2013/10,2.2756686269147743,1.7774421952317334,2.736829929513777,1.7142898876404509,2.211325
2013/11,2.2761644408689707,1.7925027850762905,2.7411332278480662,1.705790633608815,2.288625
2013/12,2.418921850533818,1.8928321458314257,2.84793714020432,1.7246617647058813,2.349675
